"Date","Start Time","Duration","Consumption","Generation","Net"
"7/1/2025","12:00 AM","15","0.1150","0.0000","0.1150"
"7/1/2025","12:15 AM","15","0.1100","0.0000","0.1100"
"7/1/2025","12:30 AM","15","0.1050","0.0000","0.1050"
"7/1/2025","12:45 AM","15","0.1050","0.0000","0.1050"
"7/1/2025","1:00 AM","15","0.1150","0.0000","0.1150"
"7/1/2025","1:15 AM","15","0.0900","0.0000","0.0900"
"7/1/2025","1:30 AM","15","0.0950","0.0000","0.0950"
"7/1/2025","1:45 AM","15","0.1000","0.0000","0.1000"
"7/1/2025","2:00 AM","15","0.0950","0.0000","0.0950"
"7/1/2025","2:15 AM","15","0.0900","0.0000","0.0900"
"7/1/2025","2:30 AM","15","0.0950","0.0000","0.0950"
"7/1/2025","2:45 AM","15","0.0950","0.0000","0.0950"
"7/1/2025","3:00 AM","15","0.0950","0.0000","0.0950"
"7/1/2025","3:15 AM","15","0.0800","0.0000","0.0800"
"7/1/2025","3:30 AM","15","0.1050","0.0000","0.1050"
"7/1/2025","3:45 AM","15","0.1000","0.0000","0.1000"
"7/1/2025","4:00 AM","15","0.0850","0.0000","0.0850"
"7/1/2025","4:15 AM","15","0.0900","0.0000","0.0900"
"7/1/2025","4:30 AM","15","0.0950","0.0000","0.0950"
"7/1/2025","4:45 AM","15","0.0950","0.0000","0.0950"
"7/1/2025","5:00 AM","15","0.2250","0.0000","0.2250"
"7/1/2025","5:15 AM","15","0.1600","0.0000","0.1600"
"7/1/2025","5:30 AM","15","0.1000","0.0000","0.1000"
"7/1/2025","5:45 AM","15","0.0900","0.0000","0.0900"
"7/1/2025","6:00 AM","15","0.0900","0.0000","0.0900"
"7/1/2025","6:15 AM","15","0.0950","0.0000","0.0950"
"7/1/2025","6:30 AM","15","0.0950","0.0000","0.0950"
"7/1/2025","6:45 AM","15","0.0800","0.0000","0.0800"
"7/1/2025","7:00 AM","15","0.1400","0.0000","0.1400"
"7/1/2025","7:15 AM","15","0.1300","0.0000","0.1300"
"7/1/2025","7:30 AM","15","0.1300","0.0000","0.1300"
"7/1/2025","7:45 AM","15","0.1100","0.0000","0.1100"
"7/1/2025","8:00 AM","15","0.1050","0.0000","0.1050"
"7/1/2025","8:15 AM","15","0.1200","0.0000","0.1200"
"7/1/2025","8:30 AM","15","0.0950","0.0000","0.0950"
"7/1/2025","8:45 AM","15","0.0950","0.0000","0.0950"
"7/1/2025","9:00 AM","15","0.1000","0.0000","0.1000"
"7/1/2025","9:15 AM","15","0.0950","0.0000","0.0950"
"7/1/2025","9:30 AM","15","0.0950","0.0000","0.0950"
"7/1/2025","9:45 AM","15","0.0900","0.0000","0.0900"
"7/1/2025","10:00 AM","15","0.0950","0.0000","0.0950"
"7/1/2025","10:15 AM","15","0.1000","0.0000","0.1000"
"7/1/2025","10:30 AM","15","0.1100","0.0000","0.1100"
"7/1/2025","10:45 AM","15","0.1100","0.0000","0.1100"
"7/1/2025","11:00 AM","15","0.1200","0.0000","0.1200"
"7/1/2025","11:15 AM","15","0.1200","0.0000","0.1200"
"7/1/2025","11:30 AM","15","0.0900","0.0000","0.0900"
"7/1/2025","11:45 AM","15","0.0900","0.0000","0.0900"
"7/1/2025","12:00 PM","15","0.1200","0.0000","0.1200"
"7/1/2025","12:15 PM","15","0.1100","0.0000","0.1100"
"7/1/2025","12:30 PM","15","0.1750","0.0000","0.1750"
"7/1/2025","12:45 PM","15","0.1150","0.0000","0.1150"
"7/1/2025","1:00 PM","15","0.1100","0.0000","0.1100"
"7/1/2025","1:15 PM","15","0.1000","0.0000","0.1000"
"7/1/2025","1:30 PM","15","0.1000","0.0000","0.1000"
